Año;Mes;Moneda;Subtítulo;Nombre Subtítulo;Monto Ley Inicial;Monto Ley Vigente a DICIEMBRE
2022;Diciembre;DOLARES;01;IMPUESTOS;2.266.400;2.266.400
2022;Diciembre;DOLARES;06;RENTAS DE LA PROPIEDAD;3.413.650;2.237.461
2022;Diciembre;DOLARES;07;INGRESOS DE OPERACIÓN;2.614;2.614
2022;Diciembre;DOLARES;08;OTROS INGRESOS CORRIENTES;25.044;45.376
2022;Diciembre;DOLARES;10;VENTA DE ACTIVOS NO FINANCIEROS;160;160
2022;Diciembre;DOLARES;11;VENTA DE ACTIVOS FINANCIEROS;7.622.256;7.658.937
2022;Diciembre;DOLARES;12;RECUPERACIÓN DE PRÉSTAMOS;2.875;2.875
2022;Diciembre;DOLARES;14;ENDEUDAMIENTO;601.615;601.615
2022;Diciembre;DOLARES;15;SALDO INICIAL DE CAJA;2.040;8.808
2022;Diciembre;DOLARES;21;GASTOS EN PERSONAL;140.244;135.519
2022;Diciembre;DOLARES;22;BIENES Y SERVICIOS DE CONSUMO;150.664;153.352
2022;Diciembre;DOLARES;23;PRESTACIONES DE SEGURIDAD SOCIAL;298;545
2022;Diciembre;DOLARES;24;TRANSFERENCIAS CORRIENTES;34.121;83.590
2022;Diciembre;DOLARES;26;OTROS GASTOS CORRIENTES;120;113
2022;Diciembre;DOLARES;29;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;3.216;3.533
2022;Diciembre;DOLARES;30;ADQUISICIÓN DE ACTIVOS FINANCIEROS;12.279.314;11.030.203
2022;Diciembre;DOLARES;31;INICIATIVAS DE INVERSIÓN;425;425
2022;Diciembre;DOLARES;32;PRÉSTAMOS;2.875;2.875
2022;Diciembre;DOLARES;33;TRANSFERENCIAS DE CAPITAL;192;3.288
2022;Diciembre;DOLARES;34;SERVICIO DE LA DEUDA;1.323.185;1.410.803
2022;Diciembre;DOLARES;35;SALDO FINAL DE CAJA;2.000;0
2022;Diciembre;PESOS;01;IMPUESTOS;42.276.996.371;43.860.782.935
2022;Diciembre;PESOS;04;IMPOSICIONES PREVISIONALES;2.242.084.329;1.724.817.578
2022;Diciembre;PESOS;05;TRANSFERENCIAS CORRIENTES;37.662.352;36.638.715
2022;Diciembre;PESOS;06;RENTAS DE LA PROPIEDAD;437.854.275;2.998.424.715
2022;Diciembre;PESOS;07;INGRESOS DE OPERACIÓN;961.103.385;1.007.169.773
2022;Diciembre;PESOS;08;OTROS INGRESOS CORRIENTES;2.816.958.068;3.016.214.496
2022;Diciembre;PESOS;10;VENTA DE ACTIVOS NO FINANCIEROS;8.425.013;11.393.164
2022;Diciembre;PESOS;11;VENTA DE ACTIVOS FINANCIEROS;118.271.293;6.578.757.440
2022;Diciembre;PESOS;12;RECUPERACIÓN DE PRÉSTAMOS;976.130.206;1.155.630.322
2022;Diciembre;PESOS;13;TRANSFERENCIAS PARA GASTOS DE CAPITAL;45.028.382;45.108.163
2022;Diciembre;PESOS;14;ENDEUDAMIENTO;14.800.330.405;14.800.728.908
2022;Diciembre;PESOS;15;SALDO INICIAL DE CAJA;67.574.926;1.029.943.745
2022;Diciembre;PESOS;21;GASTOS EN PERSONAL;11.106.650.766;12.151.252.306
2022;Diciembre;PESOS;22;BIENES Y SERVICIOS DE CONSUMO;3.897.643.687;4.825.547.876
2022;Diciembre;PESOS;23;PRESTACIONES DE SEGURIDAD SOCIAL;8.434.444.530;11.231.806.946
2022;Diciembre;PESOS;24;TRANSFERENCIAS CORRIENTES;22.709.875.600;23.202.631.729
2022;Diciembre;PESOS;25;INTEGROS AL FISCO;27.128.893;94.003.164
2022;Diciembre;PESOS;26;OTROS GASTOS CORRIENTES;5.343.636;274.937.835
2022;Diciembre;PESOS;29;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;209.022.838;459.287.994
2022;Diciembre;PESOS;30;ADQUISICIÓN DE ACTIVOS FINANCIEROS;4.307.281.254;5.975.280.759
2022;Diciembre;PESOS;31;INICIATIVAS DE INVERSIÓN;3.573.857.833;2.738.187.994
2022;Diciembre;PESOS;32;PRÉSTAMOS;1.227.182.545;1.092.308.771
2022;Diciembre;PESOS;33;TRANSFERENCIAS DE CAPITAL;5.126.164.525;5.131.472.217
2022;Diciembre;PESOS;34;SERVICIO DE LA DEUDA;4.150.812.188;5.825.689.659
2022;Diciembre;PESOS;35;SALDO FINAL DE CAJA;13.010.710;145.939.674
